# gain-bound.js, arm (0,-1) of the ndpxhts24 seed, foot 1

## unconditional: the distance uncertainty is the box's own blanket pad
```
box +-0.01u, +-0.025 deg, arm (0,-1), foot 1, 138 substeps, rim 67.167
distance uncertainty: the box's blanket pad (no assumption about the set's shape)

first substep with the WHOLE box certainly in contact: 13

  k    deg   |   lambda lo      dirDot lo   |  gain bound   running sum  | note
   92  30.67  |    4.745e-2     0.93578  |    4.439e-2     1.85653  | 
   93  31.00  |    4.699e-2     0.93644  |    4.398e-2     1.90052  | 
   94  31.33  |    4.649e-2     0.93694  |    4.354e-2     1.94406  | 
   95  31.67  |    4.596e-2     0.93725  |    4.306e-2     1.98712  | 
   96  32.00  |    4.541e-2     0.93737  |    4.255e-2     2.02967  | 
   97  32.33  |    4.481e-2     0.93728  |    4.198e-2     2.07166  | 
   98  32.67  |    4.418e-2     0.93696  |    4.138e-2     2.11303  | 
   99  33.00  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.89
  100  33.33  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.87
  101  33.67  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.85, (1,2) 2.86
  102  34.00  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.85, (1,2) 2.85
  103  34.33  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.86, (1,2) 2.85
  104  34.67  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.87, (1,2) 2.84
  105  35.00  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.87, (1,2) 2.84
  106  35.33  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.88, (1,2) 2.83
  107  35.67  |           -           -  |    0.000e+0     2.11303  | REFUSED: two leg pairs can touch: (0,0) 2.88, (1,2) 2.83

starting radius, min over the box: 63.9986u; rim 67.167u; to clear it the bound must sum to 3.1684u
certified sum over the sweep: 2.1130u -- SHORT by 1.0553u
substeps: 86 bounded, 1 partial-contact (counted zero), 40 refused by analyse

TUBE CHECK (sampled, 200 poses started in +-0.01u, up to each pose's throw): worst deviation from the centre 0.0136u at substep 84, 0.0402 deg
  tube half-width assumed: 0.01u, 0.0248 deg -- the sample LEAVES it, so the bound above is over the wrong box
```

## with the slab hypothesis: distance range 0.005u, every other bound over the full tube
```
box +-0.025u, +-0.062 deg, arm (0,-1), foot 1, 138 substeps, rim 67.167
distance uncertainty: 0.005u by the SLAB HYPOTHESIS (every other bound still over the full box)

first substep with the WHOLE box certainly in contact: 13

  k    deg   |   lambda lo      dirDot lo   |  gain bound   running sum  | note
   13   4.33  |    4.437e-2     0.14453  |    6.291e-3     0.00629  | 
   14   4.67  |    4.459e-2     0.14969  |    6.554e-3     0.01285  | 
   15   5.00  |    4.483e-2     0.15486  |    6.822e-3     0.01967  | 
   16   5.33  |    4.507e-2     0.16005  |    7.093e-3     0.02676  | 
   17   5.67  |    4.531e-2     0.16524  |    7.367e-3     0.03413  | 
   18   6.00  |    4.556e-2     0.17044  |    7.644e-3     0.04177  | 
   19   6.33  |    4.580e-2     0.17565  |    7.925e-3     0.04970  | 
   20   6.67  |    4.605e-2     0.18087  |    8.208e-3     0.05790  | 
   21   7.00  |    4.629e-2     0.18610  |    8.495e-3     0.06640  | 
   22   7.33  |    4.654e-2     0.19133  |    8.785e-3     0.07518  | 
   23   7.67  |    4.679e-2     0.19658  |    9.078e-3     0.08426  | 
   24   8.00  |    4.704e-2     0.20183  |    9.375e-3     0.09364  | 
   25   8.33  |    4.729e-2     0.20709  |    9.675e-3     0.10331  | 
   26   8.67  |    4.754e-2     0.21236  |    9.978e-3     0.11329  | 
   27   9.00  |    4.780e-2     0.21764  |    1.028e-2     0.12357  | 
   28   9.33  |    4.805e-2     0.22293  |    1.059e-2     0.13417  | 
   29   9.67  |    4.831e-2     0.22823  |    1.091e-2     0.14507  | 
   30  10.00  |    4.856e-2     0.23353  |    1.122e-2     0.15630  | 
   31  10.33  |    4.882e-2     0.23884  |    1.154e-2     0.16784  | 
   32  10.67  |    5.320e-2     0.24416  |    1.289e-2     0.18073  | 
   33  11.00  |    5.378e-2     0.24938  |    1.331e-2     0.19403  | 
   34  11.33  |    6.217e-2     0.48040  |    2.976e-2     0.22380  | 
   35  11.67  |    6.249e-2     0.48620  |    3.028e-2     0.25408  | 
   36  12.00  |    6.281e-2     0.49200  |    3.080e-2     0.28488  | 
   37  12.33  |    6.313e-2     0.49779  |    3.133e-2     0.31620  | 
   38  12.67  |    6.346e-2     0.50359  |    3.185e-2     0.34806  | 
   39  13.00  |    6.378e-2     0.50939  |    3.239e-2     0.38045  | 
   40  13.33  |    6.410e-2     0.51518  |    3.293e-2     0.41337  | 
   41  13.67  |    6.443e-2     0.52098  |    3.347e-2     0.44684  | 
