######## node nn/throw-audit/park-monotone.js 1 0 -1 1 0.1 200
box +-0.1u, +-0.248 deg, 200 poses, arm (0,-1), foot 1, 138 substeps, rim 67.167
centre thrown at substep 84

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 10; every pose thrown by substep 85

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
   85  28.33   0.091546  0.092803  |   67.211   67.347   0.1797  |    1      200/200
   86  28.67   0.091750  0.093073  |   67.303   67.440   0.1802  |    1      200/200
   87  29.00   0.091937  0.093332  |   67.395   67.533   0.1806  |    1      200/200
   88  29.33   0.092105  0.093578  |   67.487   67.627   0.1811  |    1      200/200
   89  29.67   0.092254  0.093812  |   67.579   67.721   0.1816  |    1      200/200
   90  30.00   0.092381  0.094032  |   67.672   67.815   0.1820  |    1      200/200
   91  30.33   0.092486  0.094238  |   67.764   67.909   0.1825  |    1      200/200
   92  30.67   0.092565  0.094428  |   67.857   68.003   0.1830  |    1      200/200
   93  31.00   0.092617  0.094602  |   67.949   68.098   0.1835  |    1      200/200
   94  31.33   0.092639  0.094759  |   68.042   68.193   0.1839  |    1      200/200
   95  31.67   0.092629  0.094897  |   68.135   68.288   0.1844  |    1      200/200
   96  32.00   0.092582  0.095016  |   68.227   68.383   0.1849  |    1      200/200
   97  32.33   0.091956  0.095112  |   68.319   68.478   0.1854  |    1      200/200
   98  32.67   0.092443  0.095185  |   68.412   68.573   0.1859  |    1      200/200
   99  33.00   0.092779  0.116731  |   68.505   68.680   0.1864  |    1      200/200
  100  33.33   0.093214  0.125698  |   68.599   68.793   0.1811  |    1      200/200
  101  33.67   0.085802  0.123905  |   68.722   68.888   0.1752  |    1      200/200
  102  34.00   0.086911  0.117012  |   68.810   68.995   0.1702  |    1      200/200
  103  34.33   0.078783  0.116416  |   68.927   69.080   0.1656  |    1      200/200
  104  34.67   0.083110  0.111192  |   69.011   69.184   0.1615  |    1      200/200
  105  35.00   0.075716  0.111289  |   69.123   69.265   0.1578  |    1      200/200

H3 (radial gain bounded below over the box, CONTACT substeps only): min gain 0.003019u at substep 15 -- POSITIVE throughout
H4 (box invariance), first contact 10 to the throw 85: pose spread about the centre 0.1732u -> 0.1797u -- the true dynamics EXPAND by 1.038x
every pose thrown: 200/200; latest throw substep 85

######## node nn/throw-audit/park-monotone.js 1 0 -1 1 0.25 200
box +-0.25u, +-0.620 deg, 200 poses, arm (0,-1), foot 1, 138 substeps, rim 67.167
centre thrown at substep 84

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 6; every pose thrown by substep 86

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
    6   2.00   0.000000  0.008312  |   63.556   64.486   0.4330  |    2      0/200
    7   2.33   0.000000  0.007749  |   63.556   64.486   0.4330  |    2      0/200
    8   2.67   0.000000  0.006905  |   63.556   64.486   0.4330  |    2      0/200
    9   3.00   0.000000  0.007005  |   63.556   64.486   0.4330  |    2      0/200
   10   3.33   0.000000  0.008014  |   63.556   64.486   0.4330  |    2      0/200
   11   3.67   0.000000  0.007912  |   63.556   64.486   0.4330  |    2      0/200
   12   4.00   0.000000  0.008223  |   63.563   64.486   0.4340  |    2      0/200
   13   4.33   0.000000  0.008537  |   63.571   64.487   0.4342  |    2      0/200
   14   4.67   0.000000  0.008855  |   63.580   64.495   0.4340  |    2      0/200
