substep  normal azimuth (deg)   hf      rn
k30	-72.37		0.6173	-6.8606
k31	-72.61		0.6165	-6.8025
k32	-83.57		0.5808	-4.5276
k33	-83.85		0.5802	-4.4679
k34	-84.14		0.5796	-4.4085
k71	-95.02		0.5622	-2.1649
k72	-95.32		0.5619	-2.1033
k73	-108.34		0.5560	0.5342
k74	-108.51		0.5524	0.5694
k75	-108.67		0.5488	0.6039
